iter	Passed	Remaining
391	14129	21914
392	14167	21881
393	14202	21845
394	14240	21810
395	14274	21771
396	14312	21738
397	14346	21700
398	14380	21661
399	14414	21621
400	14446	21579
401	14475	21533
402	14510	21495
403	14543	21455
404	14581	21421
405	14612	21378
406	14642	21334
407	14676	21295
408	14706	21250
409	14736	21206
410	14768	21165
411	14800	21122
412	14829	21076
413	14861	21036
414	14895	20997
415	14929	20958
416	14964	20920
417	15002	20888
418	15040	20856
419	15074	20817
420	15108	20778
421	15141	20739
422	15179	20706
423	15212	20665
424	15244	20624
425	15274	20580
426	15308	20542
427	15359	20526
428	15395	20491
429	15431	20455
430	15466	20418
431	15499	20379
432	15530	20337
433	15568	20303
434	15603	20266
435	15637	20228
436	15669	20187
437	15700	20145
438	15737	20110
439	15768	20069
440	15799	20027
441	15832	19988
442	15862	19944
443	15891	19900
444	15923	19859
445	15951	19814
446	15984	19775
447	16015	19733
448	16047	19693
449	16079	19652
450	16109	19609
451	16141	19569
452	16171	19527
453	16202	19486
454	16236	19448
455	16269	19409
456	16303	19372
457	16335	19331
458	16368	19292
459	16398	19250
460	16429	19209
461	16461	19169
462	16492	19127
463	16524	19088
464	16558	19051
465	16592	19013
466	16622	18971
467	16652	18929
468	16682	18888
469	16713	18847
470	16743	18804
471	16775	18766
472	16806	18725
473	16840	18687
474	16874	18651
475	16911	18616
476	16947	18581
477	16982	18545
478	17016	18508
479	17050	18471
480	17089	18439
481	17127	18406
482	17161	18369
483	17201	18338
484	17238	18304
485	17276	18272
486	17311	18235
487	17348	18201
488	17385	18167
489	17418	18129
490	17448	18087
491	17479	18047
492	17513	18010
493	17545	17972
494	17579	17935
495	17611	17895
496	17641	17854
497	17678	17820
498	17712	17783
499	17748	17748
500	17785	17714
501	17822	17680
502	17855	17642
503	17889	17605
504	17918	17563
505	17949	17523
506	17981	17484
507	18011	17444
508	18041	17403
509	18075	17366
510	18109	17330
511	18143	17292
512	18174	17253
513	18207	17215
514	18239	17177
515	18276	17142
516	18317	17112
517	18353	17078
518	18393	17046
519	18427	17010
520	18458	16970
521	18492	16933
522	18530	16900
523	18569	16868
524	18606	16834
525	18645	16801
526	18680	16766
527	18712	16728
528	18745	16690
529	18786	16659
530	18823	16625
531	18856	16587
532	18889	16550
533	18922	16513
534	18956	16475
535	18988	16438
536	19023	16401
537	19060	16368
538	19100	16336
539	19136	16301
540	19169	16264
541	19204	16228
542	19245	16197
543	19286	16166
544	19321	16130
545	19359	16097
546	19396	16063
547	19431	16027
548	19465	15991
549	19500	15954
550	19536	15920
551	19575	15887
552	19614	15854
553	19650	15819
554	19684	15783
555	19717	15745
556	19753	15710
557	19796	15681
558	19839	15651
559	19880	15620
560	19919	15587
561	19953	15550
562	19987	15514
563	20018	15474
564	20054	15440
565	20083	15399
566	20123	15367
567	20166	15337
568	20211	15309
569	20253	15278
570	20283	15239
571	20314	15200
572	20346	15162
573	20384	15128
574	20425	15097
575	20467	15066
576	20508	15034
577	20540	14996
578	20572	14958
579	20611	14925
580	20648	14891
581	20687	14858
582	20728	14826
583	20769	14794
584	20804	14759
585	20837	14721
586	20878	14689
587	20916	14655
588	20956	14623
589	20996	14590
590	21031	14554
591	21061	14515
592	21097	14480
593	21133	14444
594	21170	14409
595	21217	14382
596	21259	14350
597	21293	14314
598	21334	14282
599	21367	14244
600	21403	14209
601	21441	14175
602	21482	14143
603	21518	14107
604	21551	14070
605	21588	14036
606	21620	13998
607	21651	13959
608	21682	13920
609	21712	13881
610	21747	13845
611	21790	13815
612	21864	13803
613	21921	13781
614	21961	13748
615	21996	13712
616	22046	13685
617	22100	13660
618	22149	13633
619	22187	13599
620	22230	13567
621	22261	13528
622	22311	13501
623	22363	13475
624	22417	13450
625	22467	13422
626	22502	13386
627	22542	13353
628	22607	13334
629	22654	13305
630	22700	13274
631	22737	13239
632	22776	13205
633	22813	13170
634	22867	13144
635	22923	13119
636	22975	13092
637	23009	13055
638	23047	13020
639	23083	12984
640	23117	12947
641	23153	12910
642	23206	12884
643	23271	12864
644	23391	12874
645	23434	12841
646	23471	12805
647	23512	12772
648	23548	12735
649	23580	12697
650	23617	12661
651	23652	12624
652	23688	12587
653	23723	12550
654	23762	12516
655	23800	12480
656	23838	12445
657	23871	12407
658	23903	12368
659	23943	12334
660	23979	12298
661	24011	12259
662	24046	12222
663	24087	12189
664	24125	12153
665	24157	12115
666	24191	12077
667	24226	12040
668	24254	12000
669	24284	11960
670	24314	11921
671	24347	11884
672	24378	11845
673	24407	11805
674	24439	11766
675	24470	11728
676	24506	11692
677	24542	11655
678	24575	11618
679	24611	11582
680	24643	11543
681	24676	11506
682	24711	11469
683	24745	11432
684	24782	11396
685	24817	11359
686	24848	11321
687	24879	11282
688	24909	11243
689	24939	11204
690	24973	11167
691	25006	11129
692	25038	11092
693	25070	11054
694	25105	11017
695	25137	10979
696	25175	10944
697	25208	10906
698	25251	10873
699	25290	10838
700	25328	10803
701	25362	10766
702	25395	10728
703	25429	10691
704	25464	10655
705	25497	10617
706	25531	10580
707	25566	10544
708	25601	10507
709	25633	10470
710	25667	10433
711	25700	10395
712	25730	10357
713	25762	10319
714	25797	10282
715	25829	10245
716	25861	10207
717	25893	10169
718	25924	10131
719	25956	10094
720	25989	10056
721	26018	10018
722	26051	9981
723	26090	9946
724	26123	9909
725	26156	9871
726	26194	9836
727	26234	9802
728	26267	9764
729	26298	9726
730	26332	9690
731	26362	9651
732	26398	9615
733	26433	9579
734	26466	9542
735	26499	9505
736	26531	9467
737	26561	9429
738	26597	9393
739	26628	9356
740	26662	9319
741	26692	9281
742	26724	9243
743	26755	9206
744	26787	9168
745	26821	9132
746	26853	9095
747	26885	9057
748	26913	9019
749	26947	8982
750	26981	8946
751	27013	8908
752	27041	8870
753	27071	8832
754	27106	8796
755	27140	8759
756	27174	8723
757	27204	8685
758	27240	8649
759	27270	8611
760	27300	8574
761	27331	8536
762	27363	8499
763	27393	8461
764	27424	8424
765	27458	8387
766	27488	8350
767	27517	8312
768	27549	8275
769	27579	8238
770	27616	8202
771	27652	8166
772	27690	8131
773	27723	8094
774	27755	8057
775	27786	8020
776	27822	7985
777	27863	7950
778	27894	7913
779	27925	7876
780	27954	7838
781	27985	7801
782	28015	7764
783	28047	7727
784	28080	7690
785	28111	7653
786	28145	7617
787	28175	7580
788	28203	7542
789	28235	7505
790	28268	7469
791	28300	7432
792	28330	7395
793	28360	7358
794	28390	7320
795	28425	7285
796	28457	7248
797	28488	7211
798	28518	7174
799	28550	7137
800	28580	7100
801	28613	7064
802	28645	7027
803	28675	6990
804	28708	6954
805	28739	6917
806	28770	6880
807	28803	6844
808	28835	6807
809	28865	6770
810	28903	6735
811	28934	6699
812	28963	6661
813	28992	6624
814	29026	6588
815	29058	6552
816	29089	6515
817	29119	6478
818	29152	6442
819	29183	6406
820	29217	6370
821	29250	6334
822	29281	6297
823	29315	6261
824	29344	6224
825	29376	6188
826	29407	6151
827	29436	6114
828	29472	6079
829	29505	6043
830	29536	6006
831	29567	5970
832	29598	5933
833	29633	5898
834	29665	5862
835	29696	5825
836	29726	5789
837	29758	5752
838	29791	5716
839	29822	5680
840	29853	5644
841	29884	5607
842	29917	5571
843	29947	5535
844	29980	5499
845	30012	5463
846	30042	5426
847	30073	5390
848	30103	5354
849	30135	5318
850	30167	5281
851	30200	5246
852	30228	5209
853	30261	5173
854	30292	5137
855	30327	5101
856	30355	5065
857	30386	5029
858	30418	4992
859	30449	4956
860	30480	4920
861	30515	4885
862	30545	4849
863	30578	4813
864	30609	4777
865	30642	4741
866	30678	4706
867	30718	4671
868	30759	4636
869	30800	4602
870	30844	4568
871	30878	4532
872	30909	4496
873	30939	4460
874	30970	4424
875	31003	4388
876	31036	4352
877	31069	4317
878	31100	4281
879	31131	4245
880	31162	4209
881	31196	4173
882	31228	4137
883	31262	4102
884	31294	4066
885	31326	4030
886	31362	3995
887	31394	3959
888	31425	3923
889	31457	3887
890	31491	3852
891	31525	3817
892	31559	3781
893	31595	3746
894	31627	3710
895	31662	3675
896	31697	3639
897	31730	3604
898	31762	3568
899	31795	3532
900	31826	3497
901	31860	3461
902	31896	3426
903	31931	3391
904	31972	3356
905	32008	3320
906	32043	3285
907	32076	3249
908	32109	3214
909	32141	3178
910	32173	3143
911	32206	3107
912	32242	3072
913	32274	3036
914	32306	3001
915	32337	2965
916	32370	2929
917	32403	2894
918	32435	2858
919	32467	2823
920	32500	2787
921	32531	2752
922	32564	2716
923	32600	2681
924	32633	2645
925	32664	2610
926	32699	2575
927	32731	2539
928	32761	2503
929	32792	2468
930	32824	2432
931	32856	2397
932	32889	2361
933	32920	2326
934	32954	2290
935	32986	2255
936	33018	2219
937	33049	2184
938	33085	2149
939	33117	2113
940	33151	2078
941	33182	2043
942	33214	2007
943	33249	1972
944	33281	1937
945	33313	1901
946	33346	1866
947	33378	1830
948	33411	1795
949	33443	1760
950	33476	1724
951	33512	1689
952	33542	1654
953	33573	1618
954	33607	1583
955	33641	1548
956	33680	1513
957	33711	1477
958	33743	1442
959	33774	1407
960	33808	1372
961	33839	1336
962	33871	1301
963	33904	1266
964	33936	1230
965	33968	1195
966	34003	1160
967	34035	1125
968	34065	1089
969	34094	1054
970	34125	1019
971	34159	984
972	34193	948
973	34225	913
974	34258	878
975	34290	843
976	34321	807
977	34355	772
978	34386	737
979	34425	702
980	34463	667
981	34504	632
982	34545	597
983	34580	562
984	34618	527
985	34649	491
986	34684	456
987	34715	421
988	34752	386
989	34783	351
990	34816	316
991	34852	281
992	34884	245
993	34917	210
994	34951	175
995	34984	140
996	35017	105
997	35050	70
998	35082	35
999	35113	0
