iter	MultiClass
0	1.728539592
1	1.523282258
2	1.362577415
3	1.230374607
4	1.129940024
5	1.037361431
6	0.9636005203
7	0.901081975
8	0.8437184344
9	0.7944022014
10	0.7485238902
11	0.7062082843
12	0.6722534139
13	0.6409867689
14	0.6139495055
15	0.5842356437
16	0.558137784
17	0.5344478438
18	0.5151214014
19	0.4965399461
20	0.4769846902
21	0.4604201816
22	0.4423515322
23	0.4268161758
24	0.4122990605
25	0.3984964736
26	0.3856790488
27	0.3747051853
28	0.366223029
29	0.3531754519
30	0.3428521752
31	0.3336181583
32	0.3237122479
33	0.3134810259
34	0.3059919255
35	0.298043721
36	0.2926301891
37	0.2858791611
38	0.2799897911
39	0.272875267
40	0.2662205146
41	0.2595477882
42	0.2539781791
43	0.2491523589
44	0.2441588609
45	0.2392865046
46	0.2346214312
47	0.229808216
48	0.2252511489
49	0.2204438066
50	0.2167551303
51	0.2122877583
52	0.2080731334
53	0.2044101705
54	0.2015283968
55	0.1983646852
56	0.1954391541
57	0.1923221403
58	0.1891276657
59	0.1863576293
60	0.1838894249
61	0.1808241227
62	0.178888981
63	0.1766466954
64	0.1741193654
65	0.1716935818
66	0.1689681731
67	0.1665420402
68	0.163879081
69	0.1624014949
70	0.1599230056
71	0.1577299089
72	0.1557989482
73	0.1536058459
74	0.1518918457
75	0.1500165291
76	0.148479031
77	0.1465628988
78	0.1446090051
79	0.1429979147
80	0.1413843774
81	0.1396527592
82	0.1376801756
83	0.1363632363
84	0.134918572
85	0.133515759
86	0.1322239375
87	0.1309278775
88	0.1295446661
89	0.1282710633
90	0.1270584368
91	0.1257730798
92	0.1247916874
93	0.1238933483
94	0.1225809641
95	0.1213295355
96	0.120018811
97	0.1189222289
98	0.1179138339
99	0.1168553243
100	0.1156084432
101	0.1144071231
102	0.1132142446
103	0.1122015523
104	0.1112395433
105	0.1102826101
106	0.1093618439
107	0.108589609
108	0.1075116998
109	0.1062985105
110	0.1051090966
111	0.1043032126
112	0.1035829648
113	0.1024813218
114	0.1015057061
115	0.1005969471
116	0.09965946886
117	0.09866291703
118	0.09766823929
119	0.09693812752
120	0.0962837851
121	0.09563118595
122	0.0950890638
123	0.0943514341
124	0.09386202005
125	0.09297492811
126	0.09255135843
